DrugName,,B,,D,,,E,,,,L,,M,N,,,,R,,
AMINO COMPLETE,,,,120 CT,,,NOW FOODS,,,,0,,$5.35,$16.00,,,,Winston Salem Sales Tax,,
L-ARGININE,,1000 MG,,120 CT,,,NOW FOODS,,,,0,,$10.04,$23.00,,,,Winston Salem Sales Tax,,
ARGININE&CITRULINE,,500 MG,,240 CT,,,NOW FOODS,,,,0,,$24.99,$42.00,,,,Winston Salem Sales Tax,,
L-CARNITINE,,1000MG,,50TAB,,,NOW FOODS,,,,0,,$17.99,$30.00,,,,Winston Salem Sales Tax,,
L-CARNITINE,,500 MG,,60 CAP,,,NOW FOODS,,,,0,,$8.70,$22.00,,,,Winston Salem Sales Tax,,
CHEWABLE GABA,,500 MG,,90 CHEWS,,,NOW FOODS,,,,0,,$10.00,$20.00,,,,Winston Salem Sales Tax,,
GABA,,750 MG,,100 cap,,,NOW FOODS,,,,0,,$8.99,$15.00,,,,Winston Salem Sales Tax,,
5-HTP,,50 MG,,90 CAPS,,,NOW FOODS,,,,0,,$6.02,$15.00,,,,Winston Salem Sales Tax,,
L-LYSINE,,500 MG,,100 TAB,,,NOW FOODS,,,,0,,$2.67,$7.00,,,,Winston Salem Sales Tax,,
5-HTP,,100MG,,60 CAP,,,NOW FOODS,,,,0,,$5.69,$17.00,,,,Winston Salem Sales Tax,,
GLYCINE,,1000 MG,,100 CAP,,,NOW FOODS,,,,0,,$7.49,$14.00,,,,Winston Salem Sales Tax,,
L-LYSINE,,500 MG,,100 CAPS,,,NOW FOODS,,,,0,,$3.99,$7.50,,,,Winston Salem Sales Tax,,
L-LYSINE,,1000 MG,,100 TABS,,,NOW FOODS,,,,0,,$5.00,$11.00,,,,Winston Salem Sales Tax,,
L-METHIONINE,,500MG,,100 CAP,,,NOW FOODS,,,,0,,$7.99,$14.00,,,,Winston Salem Sales Tax,,
L-LYSINE,,1000 MG,,250 TABS,,,NOW FOODS,,,,0,,$11.54,$24.00,,,,Winston Salem Sales Tax,,
L-PROLINE,,500 MG,,120 CT,,,NOW FOODS,,,,0,,$8.49,$14.00,,,,Winston Salem Sales Tax,,
TAURINE,,1000MG,,100 CAP,,,NOW FOODS,,,,0,,$6.49,$11.00,,,,Winston Salem Sales Tax,,
TRUE CALM,,,,90 CAP,,,NOW FOODS,,,,0,,$7.69,$14.00,,,,Winston Salem Sales Tax,,
TRUE FOCUS,,,,90 CAP,,,NOW FOODS,,,,0,,$7.00,$15.00,,,,Winston Salem Sales Tax,,
L-TYROSINE,,,,90 CAP,,,NOW FOODS,,,,0,,$7.99,$15.00,,,,Winston Salem Sales Tax,,
NAC POWDER,,600MG,,4OZ,,,NOW FOODS,,,,0,,$15.00,$30.00,,,,Winston Salem Sales Tax,,
L-ARGININE POWDER,,5 GR,,16 OZ,,,NOW FOODS,,,,0,,$15.40,$30.00,,,,Winston Salem Sales Tax,,
L-GLUTAMINE PWDR,,5GR,,6OZ,,,NOW FOODS,,,,0,,$6.29,$15.00,,,,Winston Salem Sales Tax,,
L-GLUTAMINE PWDR,,5GR,,16OZ,,,NOW FOODS,,,,0,,$12.05,$30.00,,,,Winston Salem Sales Tax,,
GLYCINE,,1OOO MG,,16 OZ,,,NOW FOODS,,,,0,,$10.04,$22.00,,,,Winston Salem Sales Tax,,
VITAMIN A,,"10,000 IU",,100 SG,,,NOW FOODS,,,,0,,$2.34,$6.00,,,,Winston Salem Sales Tax,,
VITAMIN A,,25000 IU,,100 SG,,,NOW FOODS,,,,0,,$3.34,$8.00,,,,Winston Salem Sales Tax,,
VIT D LIQUID 1 OZ,,"1,000 IU",,,,,NOW FOODS,,,,0,,$4.68,$12.00,,,,Winston Salem Sales Tax,,
VIT D,,5000 IU,,120 GELS,,,NOW FOODS,,,,0,,$6.00,$11.00,,,,Winston Salem Sales Tax,,
